video_id,channelTitle,title,description,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Release_Time,Release_Month, Release_Day,TotalSecs,Date
mGgZHtF2sWo,MavinRecords,Godwyn ft. Di'Ja - Promise music video,"The incredible journey of Godwyn continues. This amazing guitarist was discovered by Don Jazzy on Instagram last year when Don Jazzy saw Godwyn's guitar playing Instagram videos. Within 24 hours of this discovery, the opportunistic Godwyn made his way to Mavin studios where he recorded Promise with Don Jazzy and Di'Ja. Don Jazzy released this song and it helped change Godwyn's life, earning him national exposure which led to performances all over Lagos. Today, we release the music video of this beautiful song. Godwyn's story is an inspiring one that teaches us the following: If you have great talent and you put it out there in unique ways and are opportunistic, great things will eventually happen to you.",2016-03-23 15:59:06,140175,1436,0.0,159.0,PT3M46S,hd,false,1900-01-01 15:59:06,March,Wednesday,226.0,2016-03-23
dPwlpjNtK6A,MavinRecords,Glo Campus Data Booster Featuring Reekado Banks ( Commercial ),"Glo CAMPUS Data BOOSTER is a FIRST of its kind that offers up to 8 times the value of your data subscription while you are on campus at no additional cost or charges. For example, a N200 data plan gives you N1600 worth of data on campus.

Available on Nigerian campuses nationwide, including Police, Customs and Immigration training institutes.
To buy these plans just Dial *777# and choose a Campus Booster Plan.",2016-03-14 00:18:36,14255,91,0.0,4.0,PT1M,hd,false,1900-01-01 00:18:36,March,Monday,60.0,2016-03-14
4W0FgaHk5SM,MavinRecords,Glo Campus Data Booster Ft. Korede Bello,"Glo CAMPUS Data BOOSTER is a FIRST of its kind that offers up to 8 times the value of your data subscription while you are on campus at no additional cost or charges. For example, a N200 data plan gives you N1600 worth of data on campus.

Available on Nigerian campuses nationwide, including Police, Customs and Immigration training institutes.

To buy these plans just Dial *777# and choose a Campus Booster Plan.",2016-03-12 19:18:48,152220,1090,0.0,38.0,PT1M1S,hd,false,1900-01-01 19:18:48,March,Saturday,61.0,2016-03-12
6-HjQ0qDw-4,MavinRecords,GLO Twin Bash featuring Di'ja and Korede Bello ( Commercial ),"With Glo Twin Bash, a data recharge of just N200 gives N1,200!!!

Buy a Glo recharge card of any value, dial *223*PIN# and you get data plan worth the value of recharge with additional FREE Airtime and bonus data.

For example, if you make a data recharge of N200, you get 200MB data (worth N800), FREE N200 to call ALL Networks and another N200 to call Friends and Family.",2016-03-10 21:44:35,149031,942,0.0,25.0,PT1M1S,hd,false,1900-01-01 21:44:35,March,Thursday,61.0,2016-03-10
-wjKJLqTdfE,MavinRecords,GLO Twin Bash Featuring Di'Ja ( Commercial ),"With Glo Twin Bash, a data recharge of just N200 gives N1,200!!!

Buy a Glo recharge card of any value, dial *223*PIN# and you get data plan worth the value of recharge with additional FREE Airtime and bonus data.

For example, if you make a data recharge of N200, you get 200MB data (worth N800), FREE N200 to call ALL Networks and another N200 to call Friends and Family.",2016-03-10 21:38:36,12761,235,0.0,4.0,PT1M2S,hd,false,1900-01-01 21:38:36,March,Thursday,62.0,2016-03-10
il7vIMecTaI,MavinRecords,Korede Bello - Mungo Park Official Music Video,,2016-03-07 21:11:16,19557966,92036,0.0,3859.0,PT3M53S,hd,false,1900-01-01 21:11:16,March,Monday,233.0,2016-03-07
ybNk04uYT0c,MavinRecords,Pampers one on one with Tiwa Savage,"Tiwa talks about becoming a mom, spending time with Jamil and much more.
Please share your motherhood journey and your Pampers experience with us and other mommies using the #MomsKnowBest hashtag
Pampers would love to hear from you!! 
Also follow Pampers on the following channels:
https://www.facebook.com/PampersAfrica/
https://www.instagram.com/pampersng/
http://www.pampers.com.ng/tag/moms-know-best",2016-02-23 11:51:59,87068,1181,0.0,62.0,PT2M3S,sd,false,1900-01-01 11:51:59,February,Tuesday,123.0,2016-02-23
dwoAHeps_lg,MavinRecords,Di'Ja ft. BabyFresh - Take Kiss Official Music video,,2016-01-25 11:33:09,593091,4967,0.0,350.0,PT4M14S,hd,false,1900-01-01 11:33:09,January,Monday,254.0,2016-01-25
qXS0Qag1j4o,MavinRecords,Reekado Banks - Oluwa Ni Official Music Video,Download the song from http://bit.ly/oluwani,2016-01-15 20:33:24,4484556,22534,0.0,1166.0,PT3M21S,hd,false,1900-01-01 20:33:24,January,Friday,201.0,2016-01-15
6_XI3k5N__I,MavinRecords,Pampers #MomsKnowBest with Tiwa Savage,"Tiwa tried the new Pampers Baby-Dry. Here’s what she thinks, but don’t take her word for it, try it yourself!
Share your experience...#‎MomsKnowBest
Visit the Pampers page at http://www.facebook.com/pampersafrica",2016-01-12 17:01:21,58391,938,0.0,50.0,PT1M1S,hd,false,1900-01-01 17:01:21,January,Tuesday,61.0,2016-01-12
